image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(451),0,2,0,2,0,1,1
coffe_image(452),1,-1,0,0,2,0,1
coffe_image(453),0,2,0,1,0,0,1
coffe_image(454),0,2,0,0,0,0,1
coffe_image(455),0,2,0,0,0,0,1
coffe_image(456),2,-1,2,0,2,0,1
coffe_image(457),1,-1,0,0,2,0,1
coffe_image(458),2,2,0,2,1,0,1
coffe_image(459),2,-1,0,0,1,0,1
coffe_image(460),2,2,0,2,1,0,1
coffe_image(461),1,2,0,0,1,0,1
coffe_image(462),2,2,0,0,0,0,1
coffe_image(463),2,2,0,1,1,0,1
coffe_image(464),2,2,0,0,1,0,1
coffe_image(465),2,2,0,1,1,0,1
coffe_image(466),2,-1,2,0,2,0,1
coffe_image(467),1,2,0,0,1,0,1
coffe_image(468),2,2,0,2,1,0,1
coffe_image(469),2,-1,1,2,2,2,1
coffe_image(470),1,2,0,2,1,1,1
coffe_image(471),1,2,0,0,1,0,1
coffe_image(472),2,-1,0,0,1,0,1
coffe_image(473),2,-1,2,0,2,0,1
coffe_image(474),2,-1,2,2,2,2,1
coffe_image(475),2,-1,2,2,2,2,1
coffe_image(476),1,-1,0,1,2,0,1
coffe_image(477),1,2,0,1,0,0,1
coffe_image(478),1,-1,0,1,2,0,1
coffe_image(479),2,-1,2,2,2,2,1
coffe_image(480),2,-1,0,2,2,1,1
coffe_image(481),2,1,2,2,2,2,1
coffe_image(482),2,-1,2,2,2,2,1
coffe_image(483),2,-1,2,2,2,2,1
coffe_image(484),1,2,0,1,0,0,1
coffe_image(485),0,2,0,2,0,1,1
coffe_image(486),0,1,0,2,2,1,1
coffe_image(487),2,-1,2,2,2,1,1
coffe_image(488),0,2,0,1,0,1,1
coffe_image(489),2,-1,2,2,2,2,1
coffe_image(490),0,2,0,2,0,1,1
coffe_image(491),1,2,0,2,0,1,1
coffe_image(492),1,2,0,1,0,1,1
coffe_image(493),1,2,0,1,0,0,1
coffe_image(494),2,1,2,2,2,2,1
coffe_image(495),1,-1,2,2,2,1,1
coffe_image(496),0,-1,0,1,2,0,1
coffe_image(497),2,-1,2,1,2,0,1
coffe_image(498),2,-1,2,2,2,2,1
coffe_image(499),2,-1,2,2,2,2,1
coffe_image(500),0,2,0,2,0,1,1
