image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(401),1,2,0,2,0,1,1
coffe_image(402),1,2,0,2,0,1,1
coffe_image(403),1,2,0,2,0,1,1
coffe_image(404),2,-1,0,1,1,0,1
coffe_image(405),2,-1,0,1,1,0,1
coffe_image(406),2,-1,0,1,1,0,1
coffe_image(407),2,-1,0,1,1,0,1
coffe_image(408),1,2,0,2,0,1,1
coffe_image(409),1,2,0,2,0,1,1
coffe_image(410),1,2,0,2,0,1,1
coffe_image(411),1,2,0,2,0,1,1
coffe_image(412),1,2,0,2,0,1,1
coffe_image(413),1,2,0,2,0,1,1
coffe_image(414),1,2,0,2,0,1,1
coffe_image(415),1,2,0,1,0,1,1
coffe_image(416),1,2,0,1,0,1,1
coffe_image(417),1,2,0,1,0,1,1
coffe_image(418),1,2,0,1,0,1,1
coffe_image(419),1,2,0,1,0,1,1
coffe_image(420),2,-1,0,1,1,0,1
coffe_image(421),2,-1,0,1,1,0,1
coffe_image(422),2,-1,0,1,1,0,1
coffe_image(423),2,-1,0,1,1,0,1
coffe_image(424),2,-1,0,1,1,0,1
coffe_image(425),1,2,0,1,1,0,1
coffe_image(426),1,2,0,2,0,1,1
coffe_image(427),1,2,0,2,0,1,1
coffe_image(428),1,2,0,2,0,1,1
coffe_image(429),1,2,0,2,0,1,1
coffe_image(430),1,2,0,2,0,1,1
coffe_image(431),1,2,0,2,0,1,1
coffe_image(432),1,2,0,2,0,1,1
coffe_image(433),1,2,0,2,0,1,1
coffe_image(434),1,2,0,2,0,1,1
coffe_image(435),1,2,0,2,0,1,1
coffe_image(436),1,2,0,2,0,1,1
coffe_image(437),1,2,0,2,1,1,1
coffe_image(438),0,2,0,0,0,0,1
coffe_image(439),2,-1,2,0,2,0,1
coffe_image(440),2,-1,2,0,2,0,1
coffe_image(441),1,-1,0,0,2,0,1
coffe_image(442),2,-1,0,0,2,0,1
coffe_image(443),0,0,0,0,2,0,1
coffe_image(444),1,1,0,0,2,0,1
coffe_image(445),0,2,0,0,0,0,1
coffe_image(446),0,2,0,0,0,0,1
coffe_image(447),0,2,0,0,0,0,1
coffe_image(448),0,1,0,0,2,0,1
coffe_image(449),0,2,0,0,0,0,1
coffe_image(450),2,2,0,2,1,1,1
