image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(100),1,2,0,1,1,1,1
coffe_image(51),1,2,0,1,1,0,1
coffe_image(52),1,2,0,1,1,0,1
coffe_image(53),1,2,0,1,1,0,1
coffe_image(54),1,2,0,1,1,0,1
coffe_image(55),1,2,0,1,1,0,1
coffe_image(56),1,2,0,1,1,0,1
coffe_image(57),1,2,0,1,1,0,1
coffe_image(58),0,2,0,1,1,0,1
coffe_image(59),0,2,0,1,1,0,1
coffe_image(60),0,2,0,1,1,0,1
coffe_image(61),1,2,0,1,1,0,1
coffe_image(62),1,2,0,1,1,0,1
coffe_image(63),1,2,0,1,1,0,1
coffe_image(64),1,2,0,1,1,0,1
coffe_image(65),1,2,0,1,1,0,1
coffe_image(66),1,2,0,1,1,0,1
coffe_image(67),2,2,0,1,1,1,1
coffe_image(68),2,2,0,1,1,1,1
coffe_image(69),1,2,0,1,1,0,1
coffe_image(70),2,2,0,1,1,0,1
coffe_image(71),2,2,0,1,1,0,1
coffe_image(72),2,2,0,1,1,0,1
coffe_image(73),2,2,0,1,1,0,1
coffe_image(74),2,2,0,1,1,0,1
coffe_image(75),2,2,0,1,1,0,1
coffe_image(76),2,2,0,1,1,1,1
coffe_image(77),2,2,0,1,1,1,1
coffe_image(78),2,2,0,1,1,1,1
coffe_image(79),2,-1,0,2,1,1,1
coffe_image(80),2,-1,0,2,1,1,1
coffe_image(81),2,-1,0,2,1,1,1
coffe_image(82),2,-1,0,2,1,1,1
coffe_image(83),2,-1,0,2,1,0,1
coffe_image(84),2,-1,0,2,1,0,1
coffe_image(85),2,-1,0,2,1,0,1
coffe_image(86),2,-1,0,2,1,0,1
coffe_image(87),2,-1,0,2,1,1,1
coffe_image(88),2,-1,0,2,1,1,1
coffe_image(89),2,2,0,2,1,1,1
coffe_image(90),2,2,0,2,1,1,1
coffe_image(91),2,2,0,2,1,0,1
coffe_image(92),2,2,0,2,1,0,1
coffe_image(93),2,2,0,2,1,0,1
coffe_image(94),2,2,0,2,1,0,1
coffe_image(95),1,2,0,2,1,0,1
coffe_image(96),1,2,0,2,1,0,1
coffe_image(97),2,-1,0,2,1,0,1
coffe_image(98),2,-1,0,2,1,1,1
coffe_image(99),2,-1,0,2,1,1,1
