image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(201),1,-1,0,1,1,0,1
coffe_image(202),0,1,0,1,1,0,1
coffe_image(203),0,0,0,1,1,0,1
coffe_image(204),0,0,0,1,1,0,1
coffe_image(205),0,0,0,1,1,0,1
coffe_image(206),2,-1,0,1,1,0,1
coffe_image(207),2,-1,0,1,1,0,1
coffe_image(208),0,0,0,1,1,0,1
coffe_image(209),0,0,0,1,1,0,1
coffe_image(210),2,-1,0,1,1,0,1
coffe_image(211),2,-1,0,1,1,0,1
coffe_image(212),2,-1,0,1,1,0,1
coffe_image(213),0,1,0,1,1,0,1
coffe_image(214),0,1,0,1,1,0,1
coffe_image(215),0,1,0,1,1,0,1
coffe_image(216),0,1,0,1,1,0,1
coffe_image(217),0,1,0,1,1,0,1
coffe_image(218),0,1,0,1,1,0,1
coffe_image(219),0,1,0,1,1,0,1
coffe_image(220),0,1,0,1,1,0,1
coffe_image(221),0,1,0,1,1,0,1
coffe_image(222),0,1,0,1,1,0,1
coffe_image(223),0,1,0,1,1,0,1
coffe_image(224),0,1,0,1,1,0,1
coffe_image(225),0,1,0,1,1,0,1
coffe_image(226),0,1,0,1,1,0,1
coffe_image(227),0,1,0,1,1,0,1
coffe_image(228),0,1,0,1,1,0,1
coffe_image(229),1,-1,0,2,1,1,1
coffe_image(230),1,-1,0,2,1,1,1
coffe_image(231),1,-1,0,2,1,1,1
coffe_image(232),1,-1,0,2,1,1,1
coffe_image(233),1,-1,0,2,1,1,1
coffe_image(234),1,-1,0,2,1,1,1
coffe_image(235),0,0,0,1,1,0,1
coffe_image(236),0,0,0,1,1,0,1
coffe_image(237),2,1,0,1,1,0,1
coffe_image(238),2,1,0,1,1,0,1
coffe_image(239),2,1,0,1,1,0,1
coffe_image(240),2,1,0,1,1,0,1
coffe_image(241),2,1,0,1,1,0,1
coffe_image(242),2,1,0,1,1,0,1
coffe_image(243),2,1,0,1,1,0,1
coffe_image(244),2,1,0,1,1,0,1
coffe_image(245),1,2,0,2,0,1,1
coffe_image(246),1,2,0,2,0,1,1
coffe_image(247),1,2,0,2,0,1,1
coffe_image(248),1,2,0,2,0,1,1
coffe_image(249),1,2,0,2,0,1,1
coffe_image(250),1,2,0,2,0,1,1
