image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(301),2,0,0,1,1,0,1
coffe_image(302),2,-1,0,1,1,0,1
coffe_image(303),2,-1,0,1,1,0,1
coffe_image(304),2,-1,0,1,1,0,1
coffe_image(305),2,-1,0,1,1,0,1
coffe_image(306),1,-1,0,1,0,0,1
coffe_image(307),1,2,0,2,0,1,1
coffe_image(308),1,2,0,2,0,1,1
coffe_image(309),1,2,0,2,0,1,1
coffe_image(310),1,2,0,2,0,1,1
coffe_image(311),1,2,0,2,0,1,1
coffe_image(312),1,2,0,2,0,1,1
coffe_image(313),1,2,0,2,0,1,1
coffe_image(314),1,2,0,2,0,1,1
coffe_image(315),1,2,0,2,0,1,1
coffe_image(316),2,-1,0,2,1,1,1
coffe_image(317),2,-1,0,2,1,1,1
coffe_image(318),2,-1,0,2,1,1,1
coffe_image(319),2,-1,0,2,1,1,1
coffe_image(320),2,-1,0,2,1,1,1
coffe_image(321),2,-1,0,2,1,1,1
coffe_image(322),2,-1,0,2,1,1,1
coffe_image(323),1,2,0,2,0,1,1
coffe_image(324),1,2,0,2,0,1,1
coffe_image(325),1,2,0,2,0,1,1
coffe_image(326),1,2,0,2,0,1,1
coffe_image(327),1,2,0,2,0,1,1
coffe_image(328),1,2,0,2,0,1,1
coffe_image(329),1,2,0,2,0,1,1
coffe_image(330),1,2,0,2,0,1,1
coffe_image(331),1,2,0,2,0,1,1
coffe_image(332),1,2,0,2,0,1,1
coffe_image(333),1,2,0,2,0,1,1
coffe_image(334),1,2,0,2,0,1,1
coffe_image(335),1,2,0,2,0,1,1
coffe_image(336),1,2,0,2,0,1,1
coffe_image(337),1,2,0,2,0,1,1
coffe_image(338),1,2,0,2,0,1,1
coffe_image(339),2,-1,0,2,1,1,1
coffe_image(340),2,-1,0,2,1,1,1
coffe_image(341),2,-1,0,2,1,1,1
coffe_image(342),2,-1,0,2,1,1,1
coffe_image(343),1,2,0,2,0,1,1
coffe_image(344),1,2,0,2,0,1,1
coffe_image(345),1,2,0,2,0,1,1
coffe_image(346),1,2,0,2,0,1,1
coffe_image(347),2,2,0,1,1,0,1
coffe_image(348),2,2,0,1,1,0,1
coffe_image(349),2,2,0,1,1,0,1
coffe_image(350),2,2,0,1,1,0,1
