image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(631),2,-1,0,1,2,0,1
coffe_image(632),0,2,0,1,0,0,1
coffe_image(633),2,-1,2,2,2,1,1
coffe_image(634),2,-1,1,2,2,1,1
coffe_image(635),2,-1,2,2,2,0,1
coffe_image(636),2,-1,2,2,2,1,1
coffe_image(637),2,-1,2,2,2,1,1
coffe_image(638),2,-1,2,1,2,0,1
coffe_image(639),2,-1,2,1,2,0,1
coffe_image(640),2,-1,2,1,2,0,1
coffe_image(641),2,-1,1,2,2,0,1
coffe_image(642),1,-1,0,2,2,1,1
coffe_image(643),2,1,2,2,2,0,1
coffe_image(644),2,-1,2,2,2,2,1
coffe_image(645),2,-1,2,2,2,2,1
coffe_image(646),,,,,,,0
coffe_image(647),0,1,0,1,2,0,1
coffe_image(648),2,-1,2,2,2,2,1
coffe_image(649),0,2,0,1,0,0,1
coffe_image(650),2,-1,2,2,2,2,1
