image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(551),1,2,0,2,0,1,1
coffe_image(552),2,-1,2,2,2,1,1
coffe_image(553),0,2,0,1,0,1,1
coffe_image(554),2,1,1,2,2,2,1
coffe_image(555),2,-1,2,2,2,1,1
coffe_image(556),0,2,0,1,0,0,1
coffe_image(557),0,2,0,2,0,1,1
coffe_image(558),0,-1,1,2,2,2,1
coffe_image(559),0,2,0,2,0,0,1
coffe_image(560),0,2,0,1,0,1,1
coffe_image(561),0,,,,,,0
coffe_image(562),2,-1,2,2,2,1,1
coffe_image(563),0,1,0,1,2,1,1
coffe_image(564),2,-1,0,2,2,1,1
coffe_image(565),0,2,0,1,0,0,1
coffe_image(566),2,-1,0,1,2,1,1
coffe_image(567),2,-1,0,1,1,1,1
coffe_image(568),0,2,0,1,0,1,1
coffe_image(569),0,2,0,1,0,1,1
coffe_image(570),1,1,0,1,2,1,1
coffe_image(571),1,-1,0,1,2,2,1
coffe_image(572),2,-1,0,1,1,1,1
coffe_image(573),2,-1,0,1,1,1,1
coffe_image(574),0,2,0,1,0,1,1
coffe_image(575),2,-1,0,1,2,1,1
coffe_image(576),1,1,0,2,2,1,1
coffe_image(577),0,-1,0,1,2,0,1
coffe_image(578),2,-1,2,2,2,2,1
coffe_image(579),2,1,2,2,2,2,1
coffe_image(580),2,-1,2,2,2,1,1
coffe_image(581),2,-1,2,2,2,2,1
coffe_image(582),1,2,0,2,1,0,1
coffe_image(583),0,2,0,1,0,1,1
coffe_image(584),0,2,0,1,0,1,1
coffe_image(585),2,1,2,1,2,0,1
coffe_image(586),1,-1,0,1,1,0,1
coffe_image(587),2,2,0,1,1,0,1
coffe_image(588),2,-1,0,0,2,0,1
coffe_image(589),2,-1,2,0,2,0,1
coffe_image(590),1,-1,2,0,2,0,1
coffe_image(591),1,-1,2,1,2,0,1
coffe_image(592),2,-1,2,0,2,0,1
coffe_image(593),0,-1,0,1,1,1,1
coffe_image(594),2,-1,2,0,2,0,1
coffe_image(595),0,2,0,2,0,1,1
coffe_image(596),0,2,0,1,0,0,1
coffe_image(597),0,2,0,1,0,0,1
coffe_image(598),0,2,0,1,0,0,1
coffe_image(599),0,2,0,1,0,0,1
coffe_image(600),0,-1,0,1,2,1,1
