image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(100),1,2,0,1,0,1,1
coffe_image(51),1,2,0,1,0,0,1
coffe_image(52),1,2,0,1,0,0,1
coffe_image(53),1,2,0,1,0,0,1
coffe_image(54),1,2,0,1,0,0,1
coffe_image(55),1,2,0,1,0,0,1
coffe_image(56),1,2,0,1,0,0,1
coffe_image(57),1,2,0,1,0,0,1
coffe_image(58),0,2,0,1,0,0,1
coffe_image(59),0,2,0,1,0,0,1
coffe_image(60),0,2,0,1,0,0,1
coffe_image(61),1,2,0,1,0,0,1
coffe_image(62),1,2,0,1,0,0,1
coffe_image(63),1,2,0,1,0,0,1
coffe_image(64),1,2,0,1,0,0,1
coffe_image(65),1,2,0,1,0,0,1
coffe_image(66),1,2,0,1,0,0,1
coffe_image(67),1,2,0,1,0,1,1
coffe_image(68),1,2,0,1,0,1,1
coffe_image(69),1,2,0,1,0,0,1
coffe_image(70),1,2,0,1,0,0,1
coffe_image(71),1,2,0,1,0,0,1
coffe_image(72),1,2,0,1,0,0,1
coffe_image(73),1,2,0,1,0,0,1
coffe_image(74),1,2,0,1,0,0,1
coffe_image(75),1,2,0,1,0,0,1
coffe_image(76),1,2,0,1,0,1,1
coffe_image(77),1,2,0,1,0,1,1
coffe_image(78),1,2,0,1,0,1,1
coffe_image(79),1,-1,0,2,0,1,1
coffe_image(80),1,-1,0,2,0,1,1
coffe_image(81),1,-1,0,2,0,1,1
coffe_image(82),1,-1,0,2,0,1,1
coffe_image(83),1,-1,0,2,0,0,1
coffe_image(84),1,-1,0,2,0,0,1
coffe_image(85),1,-1,0,2,0,0,1
coffe_image(86),1,-1,0,2,0,0,1
coffe_image(87),1,-1,0,2,0,1,1
coffe_image(88),1,-1,0,2,0,1,1
coffe_image(89),1,2,0,2,0,1,1
coffe_image(90),1,2,0,2,0,1,1
coffe_image(91),1,2,0,2,0,0,1
coffe_image(92),1,2,0,2,0,0,1
coffe_image(93),1,2,0,2,0,0,1
coffe_image(94),1,2,0,2,0,0,1
coffe_image(95),1,2,0,2,0,0,1
coffe_image(96),1,2,0,2,0,0,1
coffe_image(97),1,-1,0,2,0,0,1
coffe_image(98),1,-1,0,2,0,1,1
coffe_image(99),1,-1,0,2,0,1,1
