image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(501),0,1,0,1,2,0,1
coffe_image(502),1,-1,0,1,2,0,1
coffe_image(503),0,1,0,1,2,1,1
coffe_image(504),2,-1,1,2,2,1,1
coffe_image(505),2,-1,1,2,2,0,1
coffe_image(506),1,-1,0,2,2,2,1
coffe_image(507),0,2,0,2,0,1,1
coffe_image(508),0,2,0,2,0,0,1
coffe_image(509),1,-1,1,1,2,0,1
coffe_image(510),2,-1,2,2,2,2,1
coffe_image(511),2,-1,2,2,2,0,1
coffe_image(512),2,-1,2,2,2,0,1
coffe_image(513),2,1,2,2,2,2,1
coffe_image(514),2,-1,2,2,2,1,1
coffe_image(515),2,-1,2,2,2,1,1
coffe_image(516),2,1,2,2,2,2,1
coffe_image(517),2,-1,0,1,2,0,1
coffe_image(518),1,-1,1,2,2,2,1
coffe_image(519),2,-1,2,2,2,2,1
coffe_image(520),0,2,0,1,0,0,1
coffe_image(521),0,2,0,1,0,0,1
coffe_image(522),0,2,0,2,0,1,1
coffe_image(523),0,2,0,2,0,1,1
coffe_image(524),0,2,0,1,0,0,1
coffe_image(525),0,2,0,2,0,1,1
coffe_image(526),0,2,0,2,0,1,1
coffe_image(527),0,2,0,2,0,1,1
coffe_image(528),0,2,0,2,0,1,1
coffe_image(529),0,2,0,2,0,1,1
coffe_image(530),0,2,0,1,0,0,1
coffe_image(531),0,2,0,2,0,1,1
coffe_image(532),1,1,0,0,2,0,1
coffe_image(533),2,1,2,2,2,1,1
coffe_image(534),0,-1,0,2,2,2,1
coffe_image(535),2,-1,2,2,2,0,1
coffe_image(536),2,1,0,2,1,0,1
coffe_image(537),1,2,0,2,0,2,1
coffe_image(538),2,-1,2,2,2,1,1
coffe_image(539),2,-1,2,2,2,2,1
coffe_image(540),2,-1,0,2,2,2,1
coffe_image(541),0,1,0,1,2,0,1
coffe_image(542),0,1,0,1,2,0,1
coffe_image(543),2,-1,2,2,2,2,1
coffe_image(544),2,2,0,1,1,0,1
coffe_image(545),2,2,0,1,1,0,1
coffe_image(546),2,-1,0,1,1,0,1
coffe_image(547),2,-1,2,1,2,0,1
coffe_image(548),1,2,0,2,0,1,1
coffe_image(549),2,2,0,1,1,0,1
coffe_image(550),0,2,0,1,0,0,1
