image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(151),1,2,0,2,0,0,1
coffe_image(152),1,2,0,2,0,1,1
coffe_image(153),1,2,0,2,0,1,1
coffe_image(154),1,2,0,2,1,1,1
coffe_image(155),1,2,0,2,0,1,1
coffe_image(156),1,2,0,2,0,1,1
coffe_image(157),1,2,0,2,0,1,1
coffe_image(158),1,2,0,2,0,1,1
coffe_image(159),1,2,0,2,0,1,1
coffe_image(160),2,-1,0,2,1,1,1
coffe_image(161),2,-1,0,2,1,1,1
coffe_image(162),2,-1,0,2,1,1,1
coffe_image(163),2,-1,0,2,1,1,1
coffe_image(164),2,-1,0,2,1,1,1
coffe_image(165),2,-1,0,2,1,1,1
coffe_image(166),2,-1,0,2,1,1,1
coffe_image(167),2,-1,0,2,1,1,1
coffe_image(168),2,-1,0,2,1,1,1
coffe_image(169),2,-1,0,2,1,1,1
coffe_image(170),2,-1,0,2,1,1,1
coffe_image(171),2,-1,0,2,1,1,1
coffe_image(172),1,2,0,2,0,0,1
coffe_image(173),1,2,0,2,0,0,1
coffe_image(174),1,2,0,2,0,0,1
coffe_image(175),1,2,0,2,0,0,1
coffe_image(176),1,2,0,2,0,0,1
coffe_image(177),0,0,0,2,0,1,1
coffe_image(178),0,0,0,2,0,1,1
coffe_image(179),0,0,0,2,0,1,1
coffe_image(180),0,0,0,2,0,1,1
coffe_image(181),1,2,0,2,0,1,1
coffe_image(182),1,2,0,2,0,1,1
coffe_image(183),1,2,0,2,0,1,1
coffe_image(184),1,2,0,2,0,1,1
coffe_image(185),1,-1,0,2,0,0,1
coffe_image(186),1,-1,0,2,0,0,1
coffe_image(187),1,-1,0,2,0,0,1
coffe_image(188),1,-1,0,2,0,0,1
coffe_image(189),0,0,0,1,1,0,1
coffe_image(190),0,0,0,1,1,0,1
coffe_image(191),0,0,0,1,1,0,1
coffe_image(192),0,0,0,1,1,0,1
coffe_image(193),0,0,0,1,1,0,1
coffe_image(194),0,0,0,1,1,0,1
coffe_image(195),0,0,0,1,1,0,1
coffe_image(196),0,0,0,1,1,0,1
coffe_image(197),0,0,0,1,1,0,1
coffe_image(198),0,0,0,1,1,0,1
coffe_image(199),0,0,0,1,1,0,1
coffe_image(200),0,0,0,1,1,0,1
