image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(101),1,2,0,2,0,1,1
coffe_image(102),1,2,0,2,0,1,1
coffe_image(103),1,2,0,2,0,1,1
coffe_image(104),1,2,0,2,0,1,1
coffe_image(105),1,2,0,2,0,1,1
coffe_image(106),0,0,0,1,1,0,1
coffe_image(107),0,0,0,1,1,0,1
coffe_image(108),0,0,0,1,1,0,1
coffe_image(109),1,1,0,1,1,0,1
coffe_image(110),1,1,0,1,1,0,1
coffe_image(111),1,1,0,1,1,0,1
coffe_image(112),1,1,0,1,1,0,1
coffe_image(113),1,1,0,1,1,0,1
coffe_image(114),1,1,0,1,1,0,1
coffe_image(115),1,1,0,1,1,0,1
coffe_image(116),1,1,0,1,1,0,1
coffe_image(117),1,2,0,2,0,1,1
coffe_image(118),1,2,0,2,0,1,1
coffe_image(119),1,2,0,2,0,1,1
coffe_image(120),1,2,0,2,0,1,1
coffe_image(121),1,2,0,2,0,1,1
coffe_image(122),1,2,0,2,0,1,1
coffe_image(123),1,2,0,2,0,1,1
coffe_image(124),1,2,0,2,0,1,1
coffe_image(125),1,2,0,2,0,0,1
coffe_image(126),1,2,0,2,0,0,1
coffe_image(127),1,2,0,2,0,0,1
coffe_image(128),1,2,0,2,0,0,1
coffe_image(129),1,2,0,2,0,0,1
coffe_image(130),1,2,0,2,0,0,1
coffe_image(131),1,2,0,2,0,1,1
coffe_image(132),1,2,0,2,0,1,1
coffe_image(133),1,2,0,2,0,1,1
coffe_image(134),1,2,0,2,0,1,1
coffe_image(135),1,2,0,2,0,1,1
coffe_image(136),1,2,0,2,0,1,1
coffe_image(137),2,-1,0,2,0,1,1
coffe_image(138),2,-1,0,2,0,1,1
coffe_image(139),2,-1,0,2,0,1,1
coffe_image(140),2,-1,0,2,0,1,1
coffe_image(141),2,-1,0,2,0,1,1
coffe_image(142),2,-1,0,2,0,1,1
coffe_image(143),0,2,0,1,1,0,1
coffe_image(144),0,2,0,1,1,0,1
coffe_image(145),0,2,0,1,1,0,1
coffe_image(146),0,2,0,1,1,0,1
coffe_image(147),0,2,0,1,1,0,1
coffe_image(148),1,2,0,1,0,0,1
coffe_image(149),1,2,0,1,0,0,1
coffe_image(150),1,2,0,1,0,0,1
