image_name,crema,color_clarity,presentation,type_of_cup,type_of_coffee,served_way,is_relevant
coffe_image(1),0,2,0,1,0,0,1
coffe_image(10),2,-1,2,0,2,0,1
coffe_image(11),-1,-1,-1,-1,-1,-1,0
coffe_image(12),2,-1,2,0,2,0,1
coffe_image(13),0,1,0,0,2,0,1
coffe_image(14),0,2,0,0,0,0,1
coffe_image(15),2,-1,2,0,2,0,1
coffe_image(16),2,-1,2,0,2,0,1
coffe_image(17),0,2,0,0,0,0,1
coffe_image(18),-1,-1,-1,-1,-1,-1,0
coffe_image(19),2,-1,2,0,2,0,1
coffe_image(2),2,-1,1,2,2,2,1
coffe_image(20),1,-1,2,0,2,0,1
coffe_image(21),2,1,2,0,2,0,1
coffe_image(22),2,-1,2,0,2,0,1
coffe_image(23),1,-1,0,0,2,0,1
coffe_image(24),2,-1,2,0,2,0,1
coffe_image(25),2,-1,2,0,2,0,1
coffe_image(26),2,-1,2,0,2,0,1
coffe_image(27),2,-1,2,0,2,0,1
coffe_image(28),2,-1,2,0,2,0,1
coffe_image(29),2,-1,2,0,2,0,1
coffe_image(3),1,2,0,2,1,1,1
coffe_image(30),0,0,0,0,2,0,1
coffe_image(31),2,2,0,1,1,0,1
coffe_image(32),0,2,0,1,0,0,1
coffe_image(33),0,0,0,0,2,0,1
coffe_image(34),2,1,0,1,1,0,1
coffe_image(35),2,1,0,2,2,0,1
coffe_image(36),2,2,0,2,1,0,1
coffe_image(37),0,2,0,0,0,0,1
coffe_image(38),0,0,0,0,1,0,1
coffe_image(39),1,-1,0,0,1,0,1
coffe_image(4),0,1,0,2,2,1,1
coffe_image(40),0,2,0,1,0,0,1
coffe_image(41),0,2,0,1,0,0,1
coffe_image(42),0,2,0,1,0,0,1
coffe_image(43),0,2,0,1,0,0,1
coffe_image(44),0,2,0,1,0,0,1
coffe_image(45),0,2,0,1,0,0,1
coffe_image(46),1,2,0,1,0,0,1
coffe_image(47),1,2,0,1,0,0,1
coffe_image(48),1,2,0,1,0,0,1
coffe_image(49),1,2,0,1,0,0,1
coffe_image(5),0,2,0,0,0,0,1
coffe_image(50),1,2,0,1,0,0,1
coffe_image(6),1,2,0,2,1,2,1
coffe_image(7),0,2,0,0,0,0,1
coffe_image(8),2,-1,2,0,2,0,1
coffe_image(9),0,0,0,0,2,0,1
